"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"leaflet","leaflet","/usr/local/lib/R/site-library","2.0.4.1",NA,"R (>= 3.1.0)","base64enc, crosstalk, htmlwidgets, htmltools, magrittr,
markdown, methods, png, RColorBrewer, raster, scales (>=
1.0.0), sp, stats, viridis (>= 0.5.1), leaflet.providers (>=
1.8.0)",NA,"knitr, maps, sf (>= 0.9-6), shiny, rgdal, rgeos, R6, RJSONIO,
purrr, testthat",NA,"GPL-3",NA,NA,NA,NA,"no","4.1.0"
"leaflet.providers","leaflet.providers","/usr/local/lib/R/site-library","1.9.0",NA,"R (>= 2.10)",NA,NA,"V8, jsonlite, testthat (>= 2.1.0)",NA,"BSD_2_clause + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"leaps","leaps","/usr/local/lib/R/site-library","3.1",NA,"",NA,NA,"biglm",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.0"
"LearnBayes","LearnBayes","/usr/local/lib/R/site-library","2.15.1",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.1.0"
"leiden","leiden","/usr/local/lib/R/site-library","0.3.9",NA,NA,"methods, reticulate, Matrix, igraph",NA,"bipartite, covr, data.table, devtools, graphsim, knitr,
multiplex, multinet, markdown, network, RColorBrewer,
rmarkdown, spelling, testthat, tibble",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"leidenAlg","leidenAlg","/usr/local/lib/R/site-library","0.1.1",NA,"R (>= 3.5.0), Matrix, igraph","graphics, grDevices, Matrix.utils, parallel, Rcpp (>= 1.0.5),
sccore, stats","Rcpp, RcppArmadillo, RcppEigen","pbapply, testthat",NA,"GPL-3",NA,NA,NA,NA,"yes","4.1.0"
"leidenbase","leidenbase","/usr/local/lib/R/site-library","0.1.9",NA,"R (>= 3.5.0)","igraph (>= 0.8.2)",NA,"rmarkdown, knitr, testthat (>= 3.1.0)",NA,"GPL-3",NA,NA,NA,NA,"yes","4.1.1"
"lifecycle","lifecycle","/usr/local/lib/R/site-library","1.0.1",NA,"R (>= 3.3)","glue, rlang (>= 0.4.10)",NA,"covr, crayon, lintr, tidyverse, knitr, rmarkdown, testthat
(>= 3.0.1), tools, tibble, vctrs",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"limma","limma","/usr/local/lib/R/site-library","3.50.3",NA,"R (>= 3.6.0)","grDevices, graphics, stats, utils, methods",NA,"affy, AnnotationDbi, BiasedUrn, Biobase, ellipse, GO.db,
gplots, illuminaio, locfit, MASS, org.Hs.eg.db, splines,
statmod (>= 1.2.2), vsn",NA,"GPL (>=2)",NA,NA,NA,NA,"yes","4.1.1"
"listenv","listenv","/usr/local/lib/R/site-library","0.8.0",NA,"R (>= 3.1.2)",NA,NA,"R.utils, R.rsp, markdown",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.1.0"
"littler","littler","/usr/local/lib/R/site-library","0.3.14",NA,NA,NA,NA,"knitr, rmarkdown, minidown, docopt, rcmdcheck, foghorn",NA,"GPL (>= 2)",NA,NA,"unix",NA,"yes","4.1.1"
"lmds","lmds","/usr/local/lib/R/site-library","0.1.0",NA,NA,"assertthat, dynutils (>= 1.0.3), irlba, Matrix",NA,"testthat",NA,"GPL-3",NA,NA,NA,NA,"no","4.1.0"
"lme4","lme4","/usr/local/lib/R/site-library","1.1-27.1",NA,"R (>= 3.2.0), Matrix (>= 1.2-1), methods, stats","graphics, grid, splines, utils, parallel, MASS, lattice, boot,
nlme (>= 3.1-123), minqa (>= 1.1.15), nloptr (>= 1.0.4)","Rcpp (>= 0.10.5), RcppEigen","knitr, rmarkdown, PKPDmodels, MEMSS, testthat (>= 0.8.1),
ggplot2, mlmRev, optimx (>= 2013.8.6), gamm4, pbkrtest, HSAUR3,
numDeriv, car, dfoptim, mgcv, statmod, rr2, semEff",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.0"
"lmtest","lmtest","/usr/local/lib/R/site-library","0.9-38",NA,"R (>= 3.0.0), stats, zoo","graphics",NA,"car, strucchange, sandwich, dynlm, stats4, survival, AER",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.1.0"
"lobstr","lobstr","/usr/local/lib/R/site-library","1.1.1",NA,"R (>= 3.2)","crayon, Rcpp, rlang (>= 0.3.0)","Rcpp","covr, pillar, pkgdown, testthat",NA,"GPL-3",NA,NA,NA,NA,"yes","4.1.0"
"locfit","locfit","/usr/local/lib/R/site-library","1.5-9.4",NA,"R (>= 3.5.0)","lattice",NA,"interp, gam",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.0"
"lubridate","lubridate","/usr/local/lib/R/site-library","1.8.0",NA,"methods, R (>= 3.2)","generics","cpp11 (>= 0.2.7)","covr, knitr, testthat (>= 2.1.0), vctrs (>= 0.3.0), rmarkdown","chron, timeDate, tis, zoo","GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.0"
"magick","magick","/usr/local/lib/R/site-library","2.7.3",NA,NA,"Rcpp (>= 0.12.12), magrittr, curl","Rcpp","av (>= 0.3), spelling, jsonlite, methods, knitr, rmarkdown,
rsvg, webp, pdftools, ggplot2, gapminder, IRdisplay, tesseract
(>= 2.0), gifski",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"magrittr","magrittr","/usr/local/lib/R/site-library","2.0.1",NA,NA,NA,NA,"covr, knitr, rlang, rmarkdown, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"mapproj","mapproj","/usr/local/lib/R/site-library","1.2.7",NA,"R (>= 3.0.0), maps (>= 2.3-0)","stats, graphics",NA,NA,NA,"Lucent Public License",NA,NA,NA,NA,"yes","4.1.0"
"maps","maps","/usr/local/lib/R/site-library","3.4.0",NA,"R (>= 3.5.0)","graphics, utils",NA,"mapproj (>= 1.2-0), mapdata (>= 2.3.0), sp, rnaturalearth",NA,"GPL-2",NA,NA,NA,NA,"yes","4.1.0"
"maptools","maptools","/usr/local/lib/R/site-library","1.1-2",NA,"R (>= 2.10), sp (>= 1.0-11)","foreign (>= 0.8), methods, grid, lattice, stats, utils,
grDevices",NA,"rgeos (>= 0.1-8), spatstat.geom (>= 1.65-0), PBSmapping,
maps, RColorBrewer, raster, polyclip, plotrix, spatstat.linnet
(>= 1.65-3), spatstat.utils (>= 1.19.0), spatstat (>= 2.0-0)","gpclib","GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.0"
"markdown","markdown","/usr/local/lib/R/site-library","1.1",NA,"R (>= 2.11.1)","utils, xfun, mime (>= 0.3)",NA,"knitr, RCurl",NA,"GPL-2",NA,NA,NA,NA,"yes","4.1.0"
"Matrix.utils","Matrix.utils","/usr/local/lib/R/site-library","0.9.8",NA,"R (>= 3.0.0), Matrix","grr, methods, stats",NA,"testthat",NA,"GPL-3",NA,NA,NA,NA,"no","4.1.0"
"MatrixGenerics","MatrixGenerics","/usr/local/lib/R/site-library","1.6.0",NA,"matrixStats (>= 0.60.1)","methods",NA,"sparseMatrixStats, DelayedMatrixStats, SummarizedExperiment,
testthat (>= 2.1.0)",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.1.1"
"MatrixModels","MatrixModels","/usr/local/lib/R/site-library","0.5-0",NA,"R (>= 3.0.1)","stats, methods, Matrix (>= 1.1-5)",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.1.0"
"matrixStats","matrixStats","/usr/local/lib/R/site-library","0.61.0",NA,"R (>= 2.12.0)",NA,NA,"base64enc, ggplot2, knitr, markdown, microbenchmark,
R.devices, R.rsp",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.1.0"
"mclust","mclust","/usr/local/lib/R/site-library","5.4.7",NA,"R (>= 3.0)","stats, utils, graphics, grDevices",NA,"knitr (>= 1.12), rmarkdown (>= 0.9), mix (>= 1.0), geometry
(>= 0.3-6), MASS",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.0"
"mda","mda","/usr/local/lib/R/site-library","0.5-2",NA,"R (>= 3.5.0), stats, class",NA,NA,"earth, testthat",NA,"GPL-2",NA,NA,NA,NA,"yes","4.1.0"
"memoise","memoise","/usr/local/lib/R/site-library","2.0.0",NA,NA,"rlang (>= 0.4.10), cachem",NA,"digest, aws.s3, covr, googleAuthR, googleCloudStorageR, httr,
testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"mime","mime","/usr/local/lib/R/site-library","0.12",NA,NA,"tools",NA,NA,NA,"GPL",NA,NA,NA,NA,"yes","4.1.0"
"miniUI","miniUI","/usr/local/lib/R/site-library","0.1.1.1",NA,NA,"shiny (>= 0.13), htmltools (>= 0.3), utils",NA,NA,NA,"GPL-3",NA,NA,NA,NA,"no","4.1.0"
"minqa","minqa","/usr/local/lib/R/site-library","1.2.4",NA,NA,"Rcpp (>= 0.9.10)","Rcpp",NA,NA,"GPL-2",NA,NA,NA,NA,"yes","4.1.0"
"misc3d","misc3d","/usr/local/lib/R/site-library","0.9-1",NA,NA,"grDevices, graphics, stats, tcltk",NA,"rgl, tkrplot, MASS",NA,"GPL",NA,NA,NA,NA,"no","4.1.0"
"mixtools","mixtools","/usr/local/lib/R/site-library","1.2.0",NA,"R (>= 3.5.0)","kernlab, MASS, segmented, stats, survival",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.0"
"MLmetrics","MLmetrics","/usr/local/lib/R/site-library","1.1.1",NA,"R (>= 2.10)","stats, utils, ROCR",NA,"e1071",NA,"GPL-2",NA,NA,NA,NA,"no","4.1.0"
"mnormt","mnormt","/usr/local/lib/R/site-library","2.0.2",NA,"R (>= 2.2.0)","tmvnsim (>= 1.0-2)",NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.1.0"
"ModelMetrics","ModelMetrics","/usr/local/lib/R/site-library","1.2.2.2",NA,"R (>= 3.2.2)","Rcpp, data.table","Rcpp","testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.0"
"modelr","modelr","/usr/local/lib/R/site-library","0.1.8",NA,"R (>= 3.2)","broom, magrittr, purrr (>= 0.2.2), rlang (>= 0.2.0), tibble,
tidyr (>= 0.8.0), tidyselect, vctrs",NA,"compiler, covr, ggplot2, testthat",NA,"GPL-3",NA,NA,NA,NA,"no","4.1.0"
"modeltools","modeltools","/usr/local/lib/R/site-library","0.2-23",NA,"stats, stats4","methods",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.1.0"
"monocle3","monocle3","/usr/local/lib/R/site-library","1.0.0",NA,"Biobase, SingleCellExperiment","assertthat (>= 0.2.1), batchelor, BiocGenerics (>= 0.28.0),
DelayedArray (>= 0.8.0), DelayedMatrixStats (>= 1.4.0), dplyr
(>= 0.8.0.1), ggplot2 (>= 3.1.1), ggrepel (>= 0.8.1), grr,
igraph (>= 1.2.4), irlba (>= 2.3.3), leidenbase, limma (>=
3.38.3), lmtest (>= 0.9-36), MASS (>= 7.3-51.4), Matrix (>=
1.2-17), Matrix.utils, methods, pbapply (>= 1.4-0), pbmcapply
(>= 1.4.1), pheatmap, plotly (>= 4.9.0), plyr (>= 1.8.4), proxy
(>= 0.4-23), pscl (>= 1.5.2), purrr (>= 0.3.2), RANN (>=
2.6.1), RColorBrewer, Rcpp (>= 1.0.1), reshape2 (>= 1.4.3),
rsample (>= 0.0.5), RhpcBLASctl, Rtsne (>= 0.15), S4Vectors,
shiny, slam (>= 0.1-45), spdep (>= 1.1-2), speedglm (>= 0.3-2),
stringr (>= 1.4.0), SummarizedExperiment (>= 1.11.5), uwot (>=
0.1.8), tibble (>= 2.1.1), tidyr (>= 0.8.3), viridis (>= 0.5.1)","Rcpp","testthat (>= 2.1.0), pryr (>= 0.1.4), ggrastr, knitr,
rmarkdown, spelling, scran",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.1"
"msigdbr","msigdbr","/usr/local/lib/R/site-library","7.4.1",NA,"R (>= 3.3.0)","babelgene, dplyr (>= 0.7.0), magrittr, rlang, tibble,
tidyselect",NA,"knitr, rmarkdown, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"multicool","multicool","/usr/local/lib/R/site-library","0.1-12",NA,"methods, Rcpp (>= 0.11.2)",NA,"Rcpp",NA,NA,"GPL-2",NA,NA,NA,NA,"yes","4.1.0"
"munsell","munsell","/usr/local/lib/R/site-library","0.5.0",NA,NA,"colorspace, methods",NA,"ggplot2, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"mvtnorm","mvtnorm","/usr/local/lib/R/site-library","1.1-3",NA,"R(>= 3.5.0)","stats, methods",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","4.1.0"
"N2R","N2R","/usr/local/lib/R/site-library","0.1.1",NA,"Matrix","Rcpp (>= 1.0.4)","Rcpp, RcppSpdlog, RcppEigen","testthat",NA,"Apache License 2.0",NA,NA,NA,NA,"yes","4.1.0"
"Nebulosa","Nebulosa","/usr/local/lib/R/site-library","1.4.0",NA,"R (>= 4.0), ggplot2, patchwork","Seurat, SingleCellExperiment, SummarizedExperiment, ks,
Matrix, stats, methods",NA,"testthat, BiocStyle, knitr, rmarkdown, covr, scater, scran,
DropletUtils, igraph, BiocFileCache, SeuratObject",NA,"GPL-3",NA,NA,NA,NA,"no","4.1.1"
"nloptr","nloptr","/usr/local/lib/R/site-library","1.2.2.2",NA,NA,NA,NA,"testthat (>= 0.8.1), knitr, rmarkdown, inline (>= 0.3.14)",NA,"LGPL-3",NA,NA,NA,NA,"yes","4.1.0"
"numDeriv","numDeriv","/usr/local/lib/R/site-library","2016.8-1.1",NA,"R (>= 2.11.1)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.1.0"
"nycflights13","nycflights13","/usr/local/lib/R/site-library","1.0.2",NA,"R (>= 3.2)","tibble",NA,"dplyr",NA,"CC0",NA,NA,NA,NA,"no","4.1.0"
"openssl","openssl","/usr/local/lib/R/site-library","1.4.5",NA,NA,"askpass",NA,"testthat (>= 2.1.0), digest, knitr, rmarkdown, jsonlite,
jose, sodium",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"openxlsx","openxlsx","/usr/local/lib/R/site-library","4.2.4",NA,"R (>= 3.3.0)","grDevices, methods, Rcpp, stats, utils, zip, stringi","Rcpp","knitr, testthat, roxygen2, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"org.Hs.eg.db","org.Hs.eg.db","/usr/local/lib/R/site-library","3.14.0",NA,"R (>= 2.7.0), methods, AnnotationDbi (>= 1.55.1)",NA,NA,"DBI, annotate, RUnit",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.1.1"
"org.Mm.eg.db","org.Mm.eg.db","/usr/local/lib/R/site-library","3.14.0",NA,"R (>= 2.7.0), methods, AnnotationDbi (>= 1.55.1)",NA,NA,"DBI, annotate, RUnit",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.1.1"
"paletteer","paletteer","/usr/local/lib/R/site-library","1.4.0",NA,"R (>= 2.10)","prismatic, rematch2, rlang, rstudioapi",NA,"covr, gameofthrones (>= 1.0.0), ggplot2 (>= 3.3.0), ggthemes
(>= 4.0.0), harrypotter (>= 2.1.0), knitr, oompaBase, palr,
pals, rmarkdown, scico, testthat (>= 2.1.0), vdiffr,
viridisLite",NA,"GPL-3",NA,NA,NA,NA,"no","4.1.0"
"pals","pals","/usr/local/lib/R/site-library","1.7",NA,"R (>= 2.10)","dichromat, colorspace, graphics, grDevices, mapproj, maps,
methods, stats",NA,"classInt, ggplot2, knitr, latticeExtra, reshape2, rgl,
rmarkdown, testthat",NA,"GPL-3",NA,NA,NA,NA,"no","4.1.0"
"parallelly","parallelly","/usr/local/lib/R/site-library","1.28.1",NA,NA,"parallel, tools, utils",NA,NA,NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.1.0"
"patchwork","patchwork","/usr/local/lib/R/site-library","1.1.1",NA,NA,"ggplot2 (>= 3.0.0), gtable, grid, stats, grDevices, utils,
graphics",NA,"knitr, rmarkdown, gridGraphics, gridExtra, ragg, testthat (>=
2.1.0), vdiffr, covr, png",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"pbapply","pbapply","/usr/local/lib/R/site-library","1.5-0",NA,"R (>= 3.2.0)","parallel",NA,"shiny",NA,"GPL-2",NA,NA,NA,NA,"no","4.1.0"
"pbkrtest","pbkrtest","/usr/local/lib/R/site-library","0.5.1",NA,"R (>= 3.5.0), lme4 (>= 1.1.10)","broom, dplyr, magrittr, MASS, Matrix (>= 1.2.3), methods,
numDeriv, parallel, knitr",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.1.0"
"pbmcapply","pbmcapply","/usr/local/lib/R/site-library","1.5.0",NA,"utils, parallel",NA,NA,NA,NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"pcaMethods","pcaMethods","/usr/local/lib/R/site-library","1.86.0",NA,"Biobase, methods","BiocGenerics, Rcpp (>= 0.11.3), MASS","Rcpp","matrixStats, lattice, ggplot2",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.1.1"
"PerformanceAnalytics","PerformanceAnalytics","/usr/local/lib/R/site-library","2.0.4",NA,"R (>= 3.5.0), xts (>= 0.10.0)","methods, quadprog, zoo",NA,"dygraphs, Hmisc, MASS, quantmod, gamlss, gamlss.dist,
robustbase, quantreg, tinytest, ggplot2, RColorBrewer,
googleVis, plotly, gridExtra, ggpubr, RPESE, R.rsp, RobStatTM",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.1.0"
"permute","permute","/usr/local/lib/R/site-library","0.9-5",NA,"R (>= 2.14.0)","stats",NA,"vegan (>= 2.0-0), testthat (>= 0.5), parallel",NA,"GPL-2",NA,NA,NA,NA,"no","4.1.0"
"pheatmap","pheatmap","/usr/local/lib/R/site-library","1.0.12",NA,"R (>= 2.0)","grid, RColorBrewer, scales, gtable, stats, grDevices, graphics",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.1.0"
"pillar","pillar","/usr/local/lib/R/site-library","1.6.4",NA,NA,"cli, crayon (>= 1.3.4), ellipsis (>= 0.3.2), fansi, lifecycle,
rlang (>= 0.3.0), utf8 (>= 1.1.0), utils, vctrs (>= 0.3.8)",NA,"bit64, debugme, DiagrammeR, dplyr, formattable, ggplot2,
knitr, lubridate, nycflights13, palmerpenguins, rmarkdown,
scales, stringi, survival, testthat (>= 3.0.2), tibble, units
(>= 0.7.2), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"pkgbuild","pkgbuild","/usr/local/lib/R/site-library","1.2.0",NA,"R (>= 3.1)","callr (>= 3.2.0), cli, crayon, desc, prettyunits, R6,
rprojroot, withr (>= 2.1.2)",NA,"Rcpp, cpp11, testthat, covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"pkgconfig","pkgconfig","/usr/local/lib/R/site-library","2.0.3",NA,NA,"utils",NA,"covr, testthat, disposables (>= 1.0.3)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"pkgload","pkgload","/usr/local/lib/R/site-library","1.2.3",NA,NA,"cli, crayon, desc, methods, rlang, rprojroot, rstudioapi,
utils, withr",NA,"bitops, covr, pkgbuild, Rcpp, testthat",NA,"GPL-3",NA,NA,NA,NA,"no","4.1.0"
"plogr","plogr","/usr/local/lib/R/site-library","0.2.0",NA,NA,NA,NA,"Rcpp",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"plot3D","plot3D","/usr/local/lib/R/site-library","1.4",NA,"R (>= 2.15)","misc3d, stats, graphics, grDevices, methods",NA,NA,NA,"GPL (>= 3.0)",NA,NA,NA,NA,"no","4.1.0"
"plotly","plotly","/usr/local/lib/R/site-library","4.10.0",NA,"R (>= 3.2.0), ggplot2 (>= 3.0.0)","tools, scales, httr (>= 1.3.0), jsonlite (>= 1.6), magrittr,
digest, viridisLite, base64enc, htmltools (>= 0.3.6),
htmlwidgets (>= 1.5.2.9001), tidyr (>= 1.0.0), RColorBrewer,
dplyr, vctrs, tibble, lazyeval (>= 0.2.0), rlang (>= 0.4.10),
crosstalk, purrr, data.table, promises",NA,"MASS, maps, hexbin, ggthemes, GGally, testthat, knitr,
devtools, shiny (>= 1.1.0), shinytest (>= 1.3.0), curl,
rmarkdown, Cairo, broom, webshot, listviewer, dendextend,
maptools, rgeos, sf, png, IRdisplay, processx, plotlyGeoAssets,
forcats, palmerpenguins, rversions, reticulate",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"plyr","plyr","/usr/local/lib/R/site-library","1.8.6",NA,"R (>= 3.1.0)","Rcpp (>= 0.11.0)","Rcpp","abind, covr, doParallel, foreach, iterators, itertools,
tcltk, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"png","png","/usr/local/lib/R/site-library","0.1-7",NA,"R (>= 2.9.0)",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.1.0"
"polyclip","polyclip","/usr/local/lib/R/site-library","1.10-0",NA,"R (>= 3.0.0)",NA,NA,NA,NA,"BSL",NA,NA,NA,NA,"yes","4.1.0"
"polynom","polynom","/usr/local/lib/R/site-library","1.4-0",NA,NA,"stats, graphics",NA,"knitr, rmarkdown",NA,"GPL-2",NA,NA,NA,NA,"no","4.1.0"
"powerTCR","powerTCR","/usr/local/lib/R/site-library","1.14.0",NA,NA,"cubature, doParallel, evmix, foreach, magrittr, methods,
parallel, purrr, stats, truncdist, vegan, VGAM",NA,"BiocStyle, knitr, rmarkdown, RUnit, BiocGenerics",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.1.1"
"pracma","pracma","/usr/local/lib/R/site-library","2.3.3",NA,"R (>= 3.1.0)","graphics, grDevices, stats, utils",NA,"NlcOptim, quadprog",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.1.0"
"praise","praise","/usr/local/lib/R/site-library","1.0.0",NA,NA,NA,NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"presto","presto","/usr/local/lib/R/site-library","1.0.0",NA,"R (>= 3.4.0), Rcpp, data.table","dplyr, methods, tidyr, reshape2, Matrix, rlang, stats, utils,
DESeq2","Rcpp, RcppArmadillo","knitr, rmarkdown, testthat, Seurat, SingleCellExperiment,
SummarizedExperiment, broom, BiocStyle",NA,"GPL-3",NA,NA,NA,NA,"yes","4.1.1"
"prettyunits","prettyunits","/usr/local/lib/R/site-library","1.1.1",NA,NA,NA,NA,"codetools, covr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"prismatic","prismatic","/usr/local/lib/R/site-library","1.1.0",NA,"R (>= 3.2)","graphics, farver (>= 2.0.1), grDevices",NA,"covr, crayon, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"pROC","pROC","/usr/local/lib/R/site-library","1.18.0",NA,"R (>= 2.14)","methods, plyr, Rcpp (>= 0.11.1)","Rcpp","microbenchmark, tcltk, MASS, logcondens, doParallel,
testthat, vdiffr, ggplot2",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.1.0"
"processx","processx","/usr/local/lib/R/site-library","3.5.2",NA,NA,"ps (>= 1.2.0), R6, utils",NA,"callr (>= 3.2.0), cli, codetools, covr, curl, debugme,
parallel, testthat, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"prodlim","prodlim","/usr/local/lib/R/site-library","2019.11.13",NA,"R (>= 2.9.0)","Rcpp (>= 0.11.5), stats, grDevices, graphics, survival,
KernSmooth, lava","Rcpp",NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.0"
"progeny","progeny","/usr/local/lib/R/site-library","1.16.0",NA,"R (>= 3.6.0)","Biobase, stats, dplyr, tidyr, ggplot2, ggrepel, gridExtra",NA,"airway, biomaRt, BiocFileCache, broom, Seurat,
SingleCellExperiment, DESeq2, BiocStyle, knitr, readr, readxl,
pheatmap, tibble, rmarkdown, testthat (>= 2.1.0)",NA,"Apache License (== 2.0) | file LICENSE",NA,NA,NA,NA,"no","4.1.1"
"progress","progress","/usr/local/lib/R/site-library","1.2.2",NA,NA,"hms, prettyunits, R6, crayon",NA,"Rcpp, testthat, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"progressr","progressr","/usr/local/lib/R/site-library","0.9.0",NA,"R (>= 3.5.0)","digest, utils",NA,"graphics, tcltk, beepr, crayon, pbmcapply, progress, purrr,
foreach, plyr, doFuture, future, future.apply, furrr,
rstudioapi, shiny, commonmark, base64enc, tools",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.1.0"
"proj4","proj4","/usr/local/lib/R/site-library","1.0-10.1",NA,"R (>= 2.0.0)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","4.1.0"
"promises","promises","/usr/local/lib/R/site-library","1.2.0.1",NA,NA,"R6, Rcpp, later, rlang, stats, magrittr","later, Rcpp","testthat, future (>= 1.21.0), fastmap (>= 1.1.0), purrr,
knitr, rmarkdown, vembedr, spelling",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"proxy","proxy","/usr/local/lib/R/site-library","0.4-26",NA,"R (>= 3.4.0)","stats, utils",NA,"cba",NA,"GPL-2",NA,NA,NA,NA,"yes","4.1.0"
"proxyC","proxyC","/usr/local/lib/R/site-library","0.2.2",NA,"R (>= 3.1.0), methods","Matrix (>= 1.2), Rcpp (>= 0.12.12), RcppParallel","Rcpp, RcppParallel, RcppArmadillo (>= 0.7.600.1.0)","testthat, entropy, proxy",NA,"GPL-3",NA,NA,NA,NA,"yes","4.1.0"
"pryr","pryr","/usr/local/lib/R/site-library","0.1.5",NA,"R (>= 3.1.0)","stringr, codetools, methods, Rcpp (>= 0.11.0), lobstr","Rcpp","testthat (>= 0.8.0)",NA,"GPL-2",NA,NA,NA,NA,"yes","4.1.0"
"ps","ps","/usr/local/lib/R/site-library","1.6.0",NA,"R (>= 3.1)","utils",NA,"callr, covr, curl, pingr, processx (>= 3.1.0), R6, rlang,
testthat, tibble",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"pscl","pscl","/usr/local/lib/R/site-library","1.5.5",NA,NA,"MASS, datasets, grDevices, graphics, stats, utils",NA,"lattice, MCMCpack, car, lmtest, sandwich, zoo, coda, vcd,
mvtnorm, mgcv",NA,"GPL-2",NA,NA,NA,NA,"yes","4.1.0"
"psych","psych","/usr/local/lib/R/site-library","2.1.9",NA,NA,"mnormt,parallel,stats,graphics,grDevices,methods,lattice,nlme",NA,"psychTools, GPArotation, lavaan, lme4, Rcsdp, graph, knitr,
Rgraphviz",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.1.0"
"purrr","purrr","/usr/local/lib/R/site-library","0.3.4",NA,"R (>= 3.2)","magrittr (>= 1.5), rlang (>= 0.3.1)",NA,"covr, crayon, dplyr (>= 0.7.8), knitr, rmarkdown, testthat,
tibble, tidyselect",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
